page,url,ss,source_query,URL_STRUCTURE_PASS,WANDROZ_QUERY_MATCH,BOOKING_DESTINATION_VERIFIED,AFFILIATE_ATTRIBUTION_VERIFIED,destination_class,notes
barcelona/el-bon-pastor,https://www.booking.com/searchresults.html?ss=el%20Bon%20Pastor%2C%20Barcelona%2C%20Spain,"el Bon Pastor, Barcelona, Spain","el Bon Pastor, Barcelona, Spain",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
barcelona/sant-andreu,https://www.booking.com/searchresults.html?ss=Sant%20Andreu%2C%20Barcelona%2C%20Spain,"Sant Andreu, Barcelona, Spain","Sant Andreu, Barcelona, Spain",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
barcelona/la-sagrera,https://www.booking.com/searchresults.html?ss=la%20Sagrera%2C%20Barcelona%2C%20Spain,"la Sagrera, Barcelona, Spain","la Sagrera, Barcelona, Spain",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
barcelona/el-congres-i-els-indians,https://www.booking.com/searchresults.html?ss=El%20Congr%C3%A9s%2C%20Barcelona%2C%20Spain,"El Congrés, Barcelona, Spain","El Congrés, Barcelona, Spain",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
barcelona/navas,https://www.booking.com/searchresults.html?ss=Navas%2C%20Barcelona%2C%20Spain,"Navas, Barcelona, Spain","Navas, Barcelona, Spain",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
barcelona/el-camp-de-l-arpa-del-clot,https://www.booking.com/searchresults.html?ss=Camp%20de%20l%27Arpa%2C%20Barcelona%2C%20Spain,"Camp de l'Arpa, Barcelona, Spain","Camp de l'Arpa, Barcelona, Spain",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
barcelona/el-clot,https://www.booking.com/searchresults.html?ss=el%20Clot%2C%20Barcelona%2C%20Spain,"el Clot, Barcelona, Spain","el Clot, Barcelona, Spain",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
barcelona/el-parc-i-la-llacuna-del-poblenou,https://www.booking.com/searchresults.html?ss=Poblenou%2C%20Barcelona%2C%20Spain,"Poblenou, Barcelona, Spain","Poblenou, Barcelona, Spain",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
barcelona/la-vila-olimpica-del-poblenou,https://www.booking.com/searchresults.html?ss=Vila%20Ol%C3%ADmpica%2C%20Barcelona%2C%20Spain,"Vila Olímpica, Barcelona, Spain","Vila Olímpica, Barcelona, Spain",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
barcelona/el-poblenou,https://www.booking.com/searchresults.html?ss=el%20Poblenou%2C%20Barcelona%2C%20Spain,"el Poblenou, Barcelona, Spain","el Poblenou, Barcelona, Spain",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
barcelona/diagonal-mar-i-el-front-maritim-del-poblenou,https://www.booking.com/searchresults.html?ss=Diagonal%20Mar%2C%20Barcelona%2C%20Spain,"Diagonal Mar, Barcelona, Spain","Diagonal Mar, Barcelona, Spain",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
barcelona/el-besos-i-el-maresme,https://www.booking.com/searchresults.html?ss=el%20Bes%C3%B2s%20i%20el%20Maresme%2C%20Barcelona%2C%20Spain,"el Besòs i el Maresme, Barcelona, Spain","el Besòs i el Maresme, Barcelona, Spain",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
barcelona/provencals-del-poblenou,https://www.booking.com/searchresults.html?ss=Proven%C3%A7als%2C%20Barcelona%2C%20Spain,"Provençals, Barcelona, Spain","Provençals, Barcelona, Spain",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
barcelona/sant-marti-de-provencals,https://www.booking.com/searchresults.html?ss=Sant%20Mart%C3%AD%2C%20Barcelona%2C%20Spain,"Sant Martí, Barcelona, Spain","Sant Martí, Barcelona, Spain",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
barcelona/la-verneda-i-la-pau,https://www.booking.com/searchresults.html?ss=La%20Verneda%2C%20Barcelona%2C%20Spain,"La Verneda, Barcelona, Spain","La Verneda, Barcelona, Spain",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
barcelona/can-peguera,https://www.booking.com/searchresults.html?ss=Can%20Peguera%2C%20Barcelona%2C%20Spain,"Can Peguera, Barcelona, Spain","Can Peguera, Barcelona, Spain",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
barcelona/la-guineueta,https://www.booking.com/searchresults.html?ss=la%20Guineueta%2C%20Barcelona%2C%20Spain,"la Guineueta, Barcelona, Spain","la Guineueta, Barcelona, Spain",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
barcelona/verdun,https://www.booking.com/searchresults.html?ss=Verdun%2C%20Barcelona%2C%20Spain,"Verdun, Barcelona, Spain","Verdun, Barcelona, Spain",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
barcelona/la-prosperitat,https://www.booking.com/searchresults.html?ss=la%20Prosperitat%2C%20Barcelona%2C%20Spain,"la Prosperitat, Barcelona, Spain","la Prosperitat, Barcelona, Spain",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
barcelona/canyelles,https://www.booking.com/searchresults.html?ss=Canyelles%2C%20Barcelona%2C%20Spain,"Canyelles, Barcelona, Spain","Canyelles, Barcelona, Spain",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
barcelona/les-roquetes,https://www.booking.com/searchresults.html?ss=les%20Roquetes%2C%20Barcelona%2C%20Spain,"les Roquetes, Barcelona, Spain","les Roquetes, Barcelona, Spain",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
barcelona/la-trinitat-nova,https://www.booking.com/searchresults.html?ss=la%20Trinitat%20Nova%2C%20Barcelona%2C%20Spain,"la Trinitat Nova, Barcelona, Spain","la Trinitat Nova, Barcelona, Spain",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
barcelona/torre-baro,https://www.booking.com/searchresults.html?ss=Torre%20Bar%C3%B3%2C%20Barcelona%2C%20Spain,"Torre Baró, Barcelona, Spain","Torre Baró, Barcelona, Spain",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
barcelona/ciutat-meridiana,https://www.booking.com/searchresults.html?ss=Ciutat%20Meridiana%2C%20Barcelona%2C%20Spain,"Ciutat Meridiana, Barcelona, Spain","Ciutat Meridiana, Barcelona, Spain",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
barcelona/vallbona,https://www.booking.com/searchresults.html?ss=Vallbona%2C%20Barcelona%2C%20Spain,"Vallbona, Barcelona, Spain","Vallbona, Barcelona, Spain",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
berlin/adlershof,https://www.booking.com/searchresults.html?ss=Adlershof%2C%20Berlin%2C%20Germany,"Adlershof, Berlin, Germany","Adlershof, Berlin, Germany",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
berlin/albrechtstrasse,https://www.booking.com/searchresults.html?ss=Albrechtstra%C3%9Fe%2C%20Berlin%2C%20Germany,"Albrechtstraße, Berlin, Germany","Albrechtstraße, Berlin, Germany",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
berlin/alexanderplatz,https://www.booking.com/searchresults.html?ss=Alexanderplatz%2C%20Berlin%2C%20Germany,"Alexanderplatz, Berlin, Germany","Alexanderplatz, Berlin, Germany",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
berlin/allende-viertel,https://www.booking.com/searchresults.html?ss=Allende-Viertel%2C%20Berlin%2C%20Germany,"Allende-Viertel, Berlin, Germany","Allende-Viertel, Berlin, Germany",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
berlin/altglienicke,https://www.booking.com/searchresults.html?ss=Altglienicke%2C%20Berlin%2C%20Germany,"Altglienicke, Berlin, Germany","Altglienicke, Berlin, Germany",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
berlin/alt-hohenschonhausen-nord,https://www.booking.com/searchresults.html?ss=Alt-Hohensch%C3%B6nhausen%20Nord%2C%20Berlin%2C%20Germany,"Alt-Hohenschönhausen Nord, Berlin, Germany","Alt-Hohenschönhausen Nord, Berlin, Germany",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
berlin/alt-hohenschonhausen-sud,https://www.booking.com/searchresults.html?ss=Alt-Hohensch%C3%B6nhausen%20S%C3%BCd%2C%20Berlin%2C%20Germany,"Alt-Hohenschönhausen Süd, Berlin, Germany","Alt-Hohenschönhausen Süd, Berlin, Germany",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
berlin/alt-lichtenberg,https://www.booking.com/searchresults.html?ss=Alt-Lichtenberg%2C%20Berlin%2C%20Germany,"Alt-Lichtenberg, Berlin, Germany","Alt-Lichtenberg, Berlin, Germany",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
berlin/altstadt-kopenick,https://www.booking.com/searchresults.html?ss=Altstadt%20K%C3%B6penick%2C%20Berlin%2C%20Germany,"Altstadt Köpenick, Berlin, Germany","Altstadt Köpenick, Berlin, Germany",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
berlin/alt-treptow,https://www.booking.com/searchresults.html?ss=Alt-Treptow%2C%20Berlin%2C%20Germany,"Alt-Treptow, Berlin, Germany","Alt-Treptow, Berlin, Germany",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
berlin/baumschulenweg,https://www.booking.com/searchresults.html?ss=Baumschulenweg%2C%20Berlin%2C%20Germany,"Baumschulenweg, Berlin, Germany","Baumschulenweg, Berlin, Germany",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
berlin/biesdorf,https://www.booking.com/searchresults.html?ss=Biesdorf%2C%20Berlin%2C%20Germany,"Biesdorf, Berlin, Germany","Biesdorf, Berlin, Germany",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
berlin/blankenburg-heinersdorf-marchenland,https://www.booking.com/searchresults.html?ss=Blankenburg/%20Heinersdorf/%20M%C3%A4rchenland%2C%20Berlin%2C%20Germany,"Blankenburg/ Heinersdorf/ Märchenland, Berlin, Germany","Blankenburg/ Heinersdorf/ Märchenland, Berlin, Germany",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
berlin/blankenfelde-niederschonhausen,https://www.booking.com/searchresults.html?ss=Blankenfelde/%20Niedersch%C3%B6nhausen%2C%20Berlin%2C%20Germany,"Blankenfelde/ Niederschönhausen, Berlin, Germany","Blankenfelde/ Niederschönhausen, Berlin, Germany",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
berlin/bohnsdorf,https://www.booking.com/searchresults.html?ss=Bohnsdorf%2C%20Berlin%2C%20Germany,"Bohnsdorf, Berlin, Germany","Bohnsdorf, Berlin, Germany",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
berlin/britz,https://www.booking.com/searchresults.html?ss=Britz%2C%20Berlin%2C%20Germany,"Britz, Berlin, Germany","Britz, Berlin, Germany",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
berlin/britz-nord,https://www.booking.com/searchresults.html?ss=Britz%20Nord%2C%20Berlin%2C%20Germany,"Britz Nord, Berlin, Germany","Britz Nord, Berlin, Germany",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
berlin/brunnenstrasse-nord,https://www.booking.com/searchresults.html?ss=Brunnenstra%C3%9Fe%20Nord%2C%20Berlin%2C%20Germany,"Brunnenstraße Nord, Berlin, Germany","Brunnenstraße Nord, Berlin, Germany",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
berlin/brunnenstrasse-sud,https://www.booking.com/searchresults.html?ss=Brunnenstra%C3%9Fe%20S%C3%BCd%2C%20Berlin%2C%20Germany,"Brunnenstraße Süd, Berlin, Germany","Brunnenstraße Süd, Berlin, Germany",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
berlin/brunsbutteler-damm,https://www.booking.com/searchresults.html?ss=Brunsb%C3%BCtteler%20Damm%2C%20Berlin%2C%20Germany,"Brunsbütteler Damm, Berlin, Germany","Brunsbütteler Damm, Berlin, Germany",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
berlin/buch,https://www.booking.com/searchresults.html?ss=Buch%2C%20Berlin%2C%20Germany,"Buch, Berlin, Germany","Buch, Berlin, Germany",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
berlin/buchholz,https://www.booking.com/searchresults.html?ss=Buchholz%2C%20Berlin%2C%20Germany,"Buchholz, Berlin, Germany","Buchholz, Berlin, Germany",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
berlin/buckow,https://www.booking.com/searchresults.html?ss=Buckow%2C%20Berlin%2C%20Germany,"Buckow, Berlin, Germany","Buckow, Berlin, Germany",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
berlin/buckow-nord,https://www.booking.com/searchresults.html?ss=Buckow%20Nord%2C%20Berlin%2C%20Germany,"Buckow Nord, Berlin, Germany","Buckow Nord, Berlin, Germany",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
berlin/charlottenburg-nord,https://www.booking.com/searchresults.html?ss=Charlottenburg%20Nord%2C%20Berlin%2C%20Germany,"Charlottenburg Nord, Berlin, Germany","Charlottenburg Nord, Berlin, Germany",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
berlin/dammvorstadt,https://www.booking.com/searchresults.html?ss=Dammvorstadt%2C%20Berlin%2C%20Germany,"Dammvorstadt, Berlin, Germany","Dammvorstadt, Berlin, Germany",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
berlin/drakestrasse,https://www.booking.com/searchresults.html?ss=Drakestra%C3%9Fe%2C%20Berlin%2C%20Germany,"Drakestraße, Berlin, Germany","Drakestraße, Berlin, Germany",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
berlin/falkenhagener-feld,https://www.booking.com/searchresults.html?ss=Falkenhagener%20Feld%2C%20Berlin%2C%20Germany,"Falkenhagener Feld, Berlin, Germany","Falkenhagener Feld, Berlin, Germany",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
berlin/fennpfuhl,https://www.booking.com/searchresults.html?ss=Fennpfuhl%2C%20Berlin%2C%20Germany,"Fennpfuhl, Berlin, Germany","Fennpfuhl, Berlin, Germany",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
berlin/frankfurter-allee-nord,https://www.booking.com/searchresults.html?ss=Frankfurter%20Allee%20Nord%2C%20Berlin%2C%20Germany,"Frankfurter Allee Nord, Berlin, Germany","Frankfurter Allee Nord, Berlin, Germany",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
berlin/frankfurter-allee-sud,https://www.booking.com/searchresults.html?ss=Frankfurter%20Allee%20S%C3%BCd%2C%20Berlin%2C%20Germany,"Frankfurter Allee Süd, Berlin, Germany","Frankfurter Allee Süd, Berlin, Germany",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
berlin/frankfurter-allee-sud-fk,https://www.booking.com/searchresults.html?ss=Frankfurter%20Allee%20S%C3%BCd%20FK%2C%20Berlin%2C%20Germany,"Frankfurter Allee Süd FK, Berlin, Germany","Frankfurter Allee Süd FK, Berlin, Germany",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
berlin/friedenau-ost,https://www.booking.com/searchresults.html?ss=Friedenau%20Ost%2C%20Berlin%2C%20Germany,"Friedenau Ost, Berlin, Germany","Friedenau Ost, Berlin, Germany",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
berlin/friedenau-west,https://www.booking.com/searchresults.html?ss=Friedenau%20West%2C%20Berlin%2C%20Germany,"Friedenau West, Berlin, Germany","Friedenau West, Berlin, Germany",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
berlin/friedrichsfelde-nord,https://www.booking.com/searchresults.html?ss=Friedrichsfelde%20Nord%2C%20Berlin%2C%20Germany,"Friedrichsfelde Nord, Berlin, Germany","Friedrichsfelde Nord, Berlin, Germany",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
berlin/friedrichsfelde-sud,https://www.booking.com/searchresults.html?ss=Friedrichsfelde%20S%C3%BCd%2C%20Berlin%2C%20Germany,"Friedrichsfelde Süd, Berlin, Germany","Friedrichsfelde Süd, Berlin, Germany",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
berlin/friedrichshagen,https://www.booking.com/searchresults.html?ss=Friedrichshagen%2C%20Berlin%2C%20Germany,"Friedrichshagen, Berlin, Germany","Friedrichshagen, Berlin, Germany",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
berlin/gatow-kladow,https://www.booking.com/searchresults.html?ss=Gatow/Kladow%2C%20Berlin%2C%20Germany,"Gatow/Kladow, Berlin, Germany","Gatow/Kladow, Berlin, Germany",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
berlin/gropiusstadt-ost,https://www.booking.com/searchresults.html?ss=Gropiusstadt%20Ost%2C%20Berlin%2C%20Germany,"Gropiusstadt Ost, Berlin, Germany","Gropiusstadt Ost, Berlin, Germany",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
berlin/gropiusstadt-west,https://www.booking.com/searchresults.html?ss=Gropiusstadt%20West%2C%20Berlin%2C%20Germany,"Gropiusstadt West, Berlin, Germany","Gropiusstadt West, Berlin, Germany",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
berlin/grunau,https://www.booking.com/searchresults.html?ss=Gr%C3%BCnau%2C%20Berlin%2C%20Germany,"Grünau, Berlin, Germany","Grünau, Berlin, Germany",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
berlin/grunewald,https://www.booking.com/searchresults.html?ss=Grunewald%2C%20Berlin%2C%20Germany,"Grunewald, Berlin, Germany","Grunewald, Berlin, Germany",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
berlin/hakenfelde,https://www.booking.com/searchresults.html?ss=Hakenfelde%2C%20Berlin%2C%20Germany,"Hakenfelde, Berlin, Germany","Hakenfelde, Berlin, Germany",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
berlin/halensee,https://www.booking.com/searchresults.html?ss=Halensee%2C%20Berlin%2C%20Germany,"Halensee, Berlin, Germany","Halensee, Berlin, Germany",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
berlin/haselhorst,https://www.booking.com/searchresults.html?ss=Haselhorst%2C%20Berlin%2C%20Germany,"Haselhorst, Berlin, Germany","Haselhorst, Berlin, Germany",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
berlin/heerstrasse-charlottenburg-wilmersdorf,https://www.booking.com/searchresults.html?ss=Charlottenburg-Wilmersdorf%2C%20Berlin%2C%20Germany,"Charlottenburg-Wilmersdorf, Berlin, Germany","Charlottenburg-Wilmersdorf, Berlin, Germany",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
berlin/heerstrasse-spandau,https://www.booking.com/searchresults.html?ss=Spandau%2C%20Berlin%2C%20Germany,"Spandau, Berlin, Germany","Spandau, Berlin, Germany",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
berlin/hellersdorf-nord,https://www.booking.com/searchresults.html?ss=Hellersdorf%20Nord%2C%20Berlin%2C%20Germany,"Hellersdorf Nord, Berlin, Germany","Hellersdorf Nord, Berlin, Germany",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
berlin/hellersdorf-ost,https://www.booking.com/searchresults.html?ss=Hellersdorf%20Ost%2C%20Berlin%2C%20Germany,"Hellersdorf Ost, Berlin, Germany","Hellersdorf Ost, Berlin, Germany",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
berlin/hellersdorf-sud,https://www.booking.com/searchresults.html?ss=Hellersdorf%20S%C3%BCd%2C%20Berlin%2C%20Germany,"Hellersdorf Süd, Berlin, Germany","Hellersdorf Süd, Berlin, Germany",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
berlin/helmholtzplatz,https://www.booking.com/searchresults.html?ss=Helmholtzplatz%2C%20Berlin%2C%20Germany,"Helmholtzplatz, Berlin, Germany","Helmholtzplatz, Berlin, Germany",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
berlin/johannisthal,https://www.booking.com/searchresults.html?ss=Johannisthal%2C%20Berlin%2C%20Germany,"Johannisthal, Berlin, Germany","Johannisthal, Berlin, Germany",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
berlin/karl-marx-allee-nord,https://www.booking.com/searchresults.html?ss=Karl-Marx-Allee%20Nord%2C%20Berlin%2C%20Germany,"Karl-Marx-Allee Nord, Berlin, Germany","Karl-Marx-Allee Nord, Berlin, Germany",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
berlin/karl-marx-allee-sud,https://www.booking.com/searchresults.html?ss=Karl-Marx-Allee%20S%C3%BCd%2C%20Berlin%2C%20Germany,"Karl-Marx-Allee Süd, Berlin, Germany","Karl-Marx-Allee Süd, Berlin, Germany",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
berlin/karlshorst,https://www.booking.com/searchresults.html?ss=Karlshorst%2C%20Berlin%2C%20Germany,"Karlshorst, Berlin, Germany","Karlshorst, Berlin, Germany",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
berlin/karow,https://www.booking.com/searchresults.html?ss=Karow%2C%20Berlin%2C%20Germany,"Karow, Berlin, Germany","Karow, Berlin, Germany",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
berlin/kaulsdorf,https://www.booking.com/searchresults.html?ss=Kaulsdorf%2C%20Berlin%2C%20Germany,"Kaulsdorf, Berlin, Germany","Kaulsdorf, Berlin, Germany",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
berlin/kollnische-heide,https://www.booking.com/searchresults.html?ss=K%C3%B6llnische%20Heide%2C%20Berlin%2C%20Germany,"Köllnische Heide, Berlin, Germany","Köllnische Heide, Berlin, Germany",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
