page,url,ss,source_query,URL_STRUCTURE_PASS,WANDROZ_QUERY_MATCH,BOOKING_DESTINATION_VERIFIED,AFFILIATE_ATTRIBUTION_VERIFIED,destination_class,notes
amsterdam/coenhaven-minervahaven,https://www.booking.com/searchresults.html?ss=Coenhaven/Minervahaven%2C%20Amsterdam%2C%20Netherlands,"Coenhaven/Minervahaven, Amsterdam, Netherlands","Coenhaven/Minervahaven, Amsterdam, Netherlands",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
amsterdam/da-costabuurt,https://www.booking.com/searchresults.html?ss=Da%20Costabuurt%2C%20Amsterdam%2C%20Netherlands,"Da Costabuurt, Amsterdam, Netherlands","Da Costabuurt, Amsterdam, Netherlands",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
amsterdam/dapperbuurt,https://www.booking.com/searchresults.html?ss=Dapperbuurt%2C%20Amsterdam%2C%20Netherlands,"Dapperbuurt, Amsterdam, Netherlands","Dapperbuurt, Amsterdam, Netherlands",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
amsterdam/de-aker,https://www.booking.com/searchresults.html?ss=De%20Aker%2C%20Amsterdam%2C%20Netherlands,"De Aker, Amsterdam, Netherlands","De Aker, Amsterdam, Netherlands",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
amsterdam/de-kolenkit,https://www.booking.com/searchresults.html?ss=De%20Kolenkit%2C%20Amsterdam%2C%20Netherlands,"De Kolenkit, Amsterdam, Netherlands","De Kolenkit, Amsterdam, Netherlands",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
amsterdam/de-punt,https://www.booking.com/searchresults.html?ss=De%20Punt%2C%20Amsterdam%2C%20Netherlands,"De Punt, Amsterdam, Netherlands","De Punt, Amsterdam, Netherlands",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
amsterdam/de-weteringschans,https://www.booking.com/searchresults.html?ss=De%20Weteringschans%2C%20Amsterdam%2C%20Netherlands,"De Weteringschans, Amsterdam, Netherlands","De Weteringschans, Amsterdam, Netherlands",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
amsterdam/driemond,https://www.booking.com/searchresults.html?ss=Driemond%2C%20Amsterdam%2C%20Netherlands,"Driemond, Amsterdam, Netherlands","Driemond, Amsterdam, Netherlands",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
amsterdam/elzenhagen,https://www.booking.com/searchresults.html?ss=Elzenhagen%2C%20Amsterdam%2C%20Netherlands,"Elzenhagen, Amsterdam, Netherlands","Elzenhagen, Amsterdam, Netherlands",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
amsterdam/erasmuspark,https://www.booking.com/searchresults.html?ss=Erasmuspark%2C%20Amsterdam%2C%20Netherlands,"Erasmuspark, Amsterdam, Netherlands","Erasmuspark, Amsterdam, Netherlands",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
